word,Count
publications,11195
gc,5740
collections,2744
pdf,10401
vaccinepassport,14934
vaccinemand,14933
vaxxpass,15002
locktrudeauup,8248
trudeauworstpm,14414
associ,853
maxim,8642
tnc,14144
jou,7472
situat,12832
affordableh,244
ubi,14542
rentcontrol,11716
perhap,10468
pamjsword,10224
powerpanel,10890
balanc,1068
similar,12790
section,12472
charter,2369
threaten,14052
aftermath,269
sppga,13167
faculti,5000
comment,2788
repercuss,11726
along,445
date,3464
latest,7920
commentari,2789
ytgegazj,15799
terrifiedcovidkaren,13854
question,11327
startup,13247
statist,13263
uncgimdj,14623
cdnbiz,2196
fintech,5239
smallbusinessbc,12922
sbbc,12333
bcbusi,1168
vancouverbusi,14962
vancouverbiz,14961
businessinvancouv,1813
vancitybiz,14956
growth,6146
icymi,6771
kelli,7633
podcast,10734
model,9053
fragil,5501
tension,13832
restaur,11820
labourshortag,7848
decent,3548
legerpol,8024
fgfwp,5185
financ,5224
standard,13229
metric,8816
glen,5879
hodgson,6533
fgocu,5187
indict,6964
perpetr,10484
cathol,2104
church,2504
guardiannews,6162
canadianpollin,1964
mrna,9184
provincia,11154
honor,6577
resign,11788
scream,12418
heartfelt,6384
grief,6112
christo,2484
copi,3037
america,486
shut,12738
sh,12592
ctvlondon,3316
expens,4913
displac,3961
drain,4170
worker,15575
quit,11342
suicid,13517
irrespons,7215
resound,11806
amp,518
bri,1671
oldgrowth,9889
biodiversitycrisi,1389
separatist,12537
maximebernier,8645
curriculum,3359
grade,6017
terri,13850
glavin,5876
snow,12964
tick,14082
tock,14152
nancy_crouse,9313
hr,6654
bestsummerev,1310
refus,11610
nl,9562
firebreak,5248
firebreakab,5249
killerkenney,7713
cmhc,2680
buy,1827
princip,11013
runaway,12129
artic,792
consult,2974
letter,8066
jta,7505
boat,1520
saltwire,12248
atlantic,881
canad,1926
rumble,12122
vnw,15128
wha,15381
yeah,15714
sorri,13054
cheerlead,2391
crowd,3272
mla,9013
ridicul,11928
enabl,4579
prove,11144
acabforbooty,106
seventh,12569
grader,6018
shamedoz,12614
gta,6152
justtransition,7569
cheknews,2396
fails,5007
to,14147
cop,3032
dose,4114
logist,8252
her,6437
landlock,7885
davidjboles,3482
under,14642
solut,13019
chanc,2332
dri,4193
access,121
rehab,11640
smash,12931
window,15488
jdoucette,7350
upheld,14850
tribun,14350
shirt,12677
worn,15597
meaningless,8690
narcissist,9320
vedpa,15010
particularli,10304
coast,2696
intimid,7150
disrespect,3971
dfo,3794
exercis,4885
inher,7042
treati,14326
double,4119
sought,13060
took,14188
approach,708
highlight,6478
industry,6993
specif,13106
concern,2873
nurs,9746
write,15629
canlab,1989
mdrh,8686
tragicom,14271
malici,8463
twilight,14506
zone,15897
covidkil,3151
killcovid,7711
l_stone,7837
woke,15543
wtf,15646
trugrop,14425
rex,11889
mu,9215
ironi,7208
pmjt,10723
prov,11143
invit,7177
nfld,9508
implement,6873
pretend,10981
silli,12784
bonu,1559
flaw,5309
kenneyresign,7650
embarrass,4535
keep,7620
score,12402
month,9109
stuff,13455
presum,10979
scare,12347
wast,15262
useless,14887
resignkenney,11792
firetheucp,5259
temporari,13816
ei,4444
budget,1761
sep,12533
hedyfry,6403
properli,11108
mismanag,8973
unnecessari,14758
elxnmand,4523
acoyne,154
sort,13057
satisfi,12307
pleasantri,10697
exchang,4870
amongst,514
abid,50
own,10181
